family,branch,branch_label,tick,enabled,applied,applied_count,internal_sa_count,internal_to_external_sa_ratio,internal_resolution_structure_count_selected,cam_item_count,pool_ev_to_er_ratio
F06,attention_overheat,注意力过热,5,1,1,1,120.0,2.0,5.0,23.5,1.25
F06,ev_propagation_thin,EV传播偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_propagation_thin,EV传播偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_propagation_thin,EV传播偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_propagation_thin,EV传播偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_propagation_thin,EV传播偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F06,ev_induction_thin,ER诱发偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_induction_thin,ER诱发偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_induction_thin,ER诱发偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_induction_thin,ER诱发偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F06,ev_induction_thin,ER诱发偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F06,ev_retention_thin,EV保留偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.9
F06,ev_retention_thin,EV保留偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.9
F06,ev_retention_thin,EV保留偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.9
F06,ev_retention_thin,EV保留偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.9
F06,ev_retention_thin,EV保留偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.9
F06,ev_saturated_retention,传播饱和转保留,1,1,0,0,120.0,2.0,5.0,4.0,0.15
F06,ev_saturated_retention,传播饱和转保留,2,1,0,0,120.0,2.0,5.0,4.0,0.15
F06,ev_saturated_retention,传播饱和转保留,3,1,0,0,120.0,2.0,5.0,4.0,0.15
F06,ev_saturated_retention,传播饱和转保留,4,1,0,0,120.0,2.0,5.0,4.0,0.15
F06,ev_saturated_retention,传播饱和转保留,5,1,1,1,120.0,2.0,5.0,4.0,0.15
F06,disabled_control,关闭调参,1,0,0,0,25.0,0.384615,1.0,4.0,1.25
